Komentar;Kelas
RT @Panembahan_alit: @tempodotco @Reiza_Patters Sayang masih PPKM, pengen keliling Ibu kota melihat2 wajah baru ibu kota sekarang kek apa';negatif
PPKM 5 bulan, bansos cma 600. Hebat sih negara ini. Iya kan pak @jokowi @aniesbaswedan';negatif
nih yang pada punya ruko pada pinter ya, nyewainnya harus tahunan takut kali ya klo ada ppkm lagi yang nyewa pada kabur';negatif
 AREAJULID efek ppkm diperpanjang terozzz';negatif
RT @CNNIndonesia: Lalu Lintas Penerbangan Belum Pulih Imbas PPKM https://t.co/iU4tNtq3l5';positif
 muslimahnewscom Jika dilakukan Lockdown, amanat UU menyatakan bahwa Pemerintah harus menanggung kebutuhan rakyat. Tapi kalo PPKM tidak ada.';negatif
karna gabut, sempet leave balik lagi karna ppkm akhirnya keterusan smpe skrg ini https://t.co/qCidMKrDlX';negatif
Pandemi Diluar Jawa-Bali Membaik, Airlangga : Lampung Sudah Memasuki PPKM Level 1 https://t.co/2QoY7andij';positif
makan apa gess?udah dibuka ppkm???pas waktunya pindah ke kost!me time dikamar sama halu pangeran!udah prokes bgt!n g mow ada pa pa!';negatif
 medinabliss @aan__ Kak gmnaa jd bisa gk bawa bayi pas ppkm?';positif
 liwoozi jiakkhhh menutup diri gegara ppkm ye xob;positif
 cheichaartic disana udah bisa dolan? gak ppkm lagi?';positif
Bahaya ppkm terlalu lama bisa bikin rakyat semakin miskin dan pejabat semakin kaya #BahayaLatenNeoPKI  #BahayaLatenNeoPKI';negatif
" chaewoi lama banget nunggu gak ppkm? &gt;:['";negatif
PPKM diperpanjang samapi Kamu anggap aku ada.';negatif
 ARXMKL iya kak lg ppkm';positif
 girlwhoodie tar tar tunggu ppkm selesai';positif
RT @GoNewsdotco: Pimpinan DPR ke Rakyat: Jangan Demo saat PPKM Level 4 dan Tak Boleh Kibarkan Bendera Putih https://t.co/SJL3WMAidf';negatif
UPZ Bank Sumut dan DD Waspada Salurkan Ribuan Karung Beras Bagi Warga Terdampak PPKM https://t.co/z6VdrzTwGZ https://t.co/UL10Rj2bYa';positif
 Irwan2yah Dan klu ga salah PCR/Antigennya harus di lab yang tdaftar di Kemenkes. Persyaratan ini apa masih berlaku jika sdh tdk PPKM?';positif
 YOURDAHLING Sementara idm/alfa aja bentar lagi kan ppkm slese, superindo jga buka,';positif
PPKM Diperpanjang, Anggota FPKS: Bantuan UMKM Harus Dilanjutkan! https://t.co/nXMnScY2Ez lewat @FPKSDPRRI';positif
 diahvinaa mungkin tutup karena lagi ppkm';negatif
Ppkm dilonggarin bocil3 mulai bergentayangan ya allah ni anak siapa main ga pake masker bergerombol death combo';negatif
pasti di zootopia skarang lg ppkm, gazelle gbisa konser fix, judy, nick pake masker, di zootopia ada satpol ga ya';negatif
 CttnDmkrs end game covid 19 di tanah air. Instrospeksi buat pemerintah. Ppkm berlanjut, tapi rakyat kelaparan nihil bantuan.';negatif
Karna ppkm membuat bengkelnya sepi, akhirnya dia berencana membuka tambal ban online';negatif
RT @jagadhj: PPKM level 76 masyarakat wajib ngrogo sukmo mengeluarkan rohnya saja jika ingin pergi ke luar rumah';negatif
FOTO: Kondisi Mal PGC di Masa Perpanjangan PPKM Level 4 https://t.co/GNXSQyrMQ1';positif
RT @Kimi58486332: Dugem buka saat PPKM , apakah akan di proses seperti HRS ? https://t.co/rpvIRY2XvC';negatif
RT @Riyansupyans: PPKM 6 minggu semua jalan ditutup, kecuali pintu taubat.';negatif
 subhanibonk @ArnoldPoernomo Balesin chef biar pada dapet berkah lagi ppkm lvl 4 begini';positif
PPKM boleh dine in maksimal 20 menit, soalnya kalo 5 menit lagi ah ah ah dia mau datang menjemputku.';positif
RT @detikcom: Aturan PPKM menyebutkan tempat makan diperbolehkan beroperasi dengan syarat makan di tempat hanya diijinkan selama 20 menit.\xe2\x80\xa6';positif
Orang yang punya gaji bingung kenapa orang pada kesel sama PPKM';negatif
asahi msi kejebak ppkm kali yk kok gak kliatan???';negatif
 Ieewoozc Ppkm nanti ditangkep sat/pol :)';negatif
"b""@songkangui lagii ppkm inii, pelan pelan kurang money :')""";negatif
ppkm membosankan';negatif
Hari ini hari kedua doi sekolah offline dirumah kepala sekolahnya, kondisi covid ppkm lvl 4 tp sekolah jalan teros';positif
Ppkm membuatku jadi raja mager';negatif
ppkm diperpanjang beli apaan lagi neeeeeh......... korg apa?';negatif
 mahasiswamlg Positif wkwkwkwk karna merasa jarang bgt keluar kalau tidak urgent selama ppkm wkwkwkwkwk';positif
 rezbangs @wrwrzzz beneran ada pasar malem tapi depan komplek aku padahal ppkm pea bgt kan';negatif
RT @dailyskripsi: itu skripsi apa ppkm dah lama bener kelarnya';negatif
RT @jagadhj: PPKM level 76 masyarakat wajib ngrogo sukmo mengeluarkan rohnya saja jika ingin pergi ke luar rumah';negatif
Kukira PPKM diperpanjang, ga akan ada undangan. Ternyata semakin banyak.';negatif
 geloraco Makin tak terkendali, PPKM level tak berarti';negatif
 sadtemberboys ppkm anjirt';negatif
 RachlanNashidik Terus apa gunanya ppkm';negatif
Hp ge ngikut ppkm jg kali ya, sepi amat';negatif
 riluris PPKM TOT! Mau nongkrong dimane si babi';negatif
Ppkm level 4,Abon cabe mpe level brpa emng?';negatif
Wishlist setelah PPKM: potong rambut dan cari kebaya.';positif
RT @Santi_nya: Ppkm diperpanjang, chatku diakhiri';negatif
 gataudhbingung kalo punya duit mah gampang ppkm kecil.. gitu ga si?';positif
 ayyaaa30 Huh ppkm';negatif
 FWBESS Nunggu ppkm endgame baru bs belanja2 nder';negatif
 jokowi Tapi perhatikan masyarakat pendatang jangan sampai kelaparan gara2 ppkm banyak yg kelaparan';negatif
 ssefnum Menurutmu, kegiatan yang enak pas ppkm gini apa?';positif
 Archeopteryx00 Wkwkwk ppkm';positif
Selama PPKM Darurat, tingkat penularan Covid-19 di Cianjur juga turun. https://t.co/nDao1ag4lp';positif
RT @jagadhj: enaknya PPKM diperpanjang gini pas malem ga perlu repot masukin motor soalnya motornya udah masuk pegadaian';negatif
 cttndmkrs Kami orang kampung kelaparan ....bansos ga merata PPKM semakin mempersulit';negatif
 salturday ayo anjr kita main, iya si masi ppkm:(';positif
"b""@calonnpapa Virtual can't relate,masih ppkm jugaaa :(((""";positif
Lagi dan lagi... Dapat panggilan tapi gak bisa ke Medan karna PPKM...  Hmmm gw katawa aja dehh dari pada puyengg';negatif
RT @prachyaprawat: kepanjangan ppkm versi peraya ( prachaya perawat kan menikah)';positif
 animefess_ Gue ngabisin Haikyuu 4 season, 3 hari juga pernah saking gabutnya ppkm';positif
RT @akutaurifky: PPKM level tertinggi merasa tidak pantas untuk siapa pun';negatif
ppkm nih diperpanjang sampe tgl 2 kau nekat sekali bikin acara digedung astaghfirullah';negatif
 jeramimemanggil bayar lapangan aja tar kalo ppkm dah level 0';positif
 detikcom Habis itu terbitlah aturan ppkm level 5-6';positif
RT @ceritatehfidy: Pusing juga ngurus acara yg sudah didepan mata tapi tiba2 berubah segalanya akibat ppkm. Hiks sedih';negatif
2jt bs apa ?? PPKm oh PPKm';positif
RT @seterahdeh: ppkm diperpanjang https://t.co/B3xn51dVFE';positif
guru aneh lg ppkm di suruh ke rmh dia ngambil lks';negatif
RT @Arxyven: @ncitybase_ PPKM : Pelan Pelan Kehilangan Money';negatif
 banjarbase di cendana nder murah2 tapi kurang tau deh ppkm gini masih buka apa ga';positif
 hesti_rya Apa heh? Ppkm selesai kita ngopi yoo';positif
Sihh... PPKM level 4 bikin mikir cinta. (Soalnya bingung mau ngapain)';positif
 haksaranjaya ppkm sa nanti ditangkep';negatif
 severedgrace Iya sih... KALO MAJOR GILA AJA, UDAH KEK APAAN AJA ANJRIT. HUHUHU PENGEN CEPET KELAR PPKM CUY, BIAR BISA KELUAR MAEN.';negatif
anw han kita gas ke kua aja apa? ppkm gini kua buka ga sih?';positif
 giihadidd yang sabar ya, namanya juga ppkm level 5';positif
 aishaheo Dah tutup ppkm,,';negatif
 Anunya_69 Iya kak, abis ppkm balik lg ya';positif
 notuserfo Iyaaa ppkm';positif
Plis gua udh cape ppkm, pengen nge bucin';positif
 RadioElshinta lock down? PPKM darurat aja gak bisa jalan 100%';negatif
RT @shitlicious: PPKM: Pelan-pelan Kena Mental';negatif
 nabugi12 Udah pada tutup si kayanya yaa soalnya ppkm';negatif
 halupulisi Gara-gara PPKM berlevel';negatif
 detikcom Nah, ini mungkin peringatan buat para pemangku kebijakan agar tak ngawur ambil kebijakan PPKM or Whatever';negatif
 D0UNCAPER lebih suka ppkm';positif
abis ppkm kelar aku mau keluar kandang ah';positif
abis ppkm gass lahh lama banget ini ppkm';negatif
RT @virtualballers: PPKM diperpanjang sampai EA dan Konami merger.';negatif
 jaemcityx Mngkn krna PPKM, sebagian tempat jalan2 D buat muter2 soalnya';negatif
 matimudaaa_ Ppkm min:)';positif
 ayamtirex @bdngfess nanti beres PPKM, ya';positif
Min @GrabID sepi amat orderannya,  apa orderannya kena PPKM  juga?';negatif
 lemonmilkys enak langsung yaa, cuma PPKM';positif
 astrohoodss Yo bismilah selesai ppkm';positif
Serius. Sepuluh ribu ae berharga pol lek pas ppkm wkwkw . Alhamdulillah';positif
 maurichrichrich Diperpanjang i ppkm e';negatif
 kuro_diablo Jangan rame rame, PPKM';positif
 ndroooman ga dlu ppkm';negatif
PPKM Di Perpanjang Sampai Pada Titik Terbaik Menurut Takdir.';positif
 convomf cape ga si sm ppkm?';negatif
Ilmu makan di prajab akhirnya berguna kalau makan di warteg selama PPKM';positif
RT @____dime: halo karena efek dari ppkm ini aku mau jual laptop kesayanganku dari sma hehehe, ada minus garis di lcd waktu dinyalain. aku\xe2\x80\xa6';positif
RT @QaillaAsyiqah: Bagaimana KEADILAN bs tercipta, jika Rakyat Jelata terus disiksa dg peraturan yg ada!!  Aksi Tolak PPKM di Lebak Banten.;negatif
 joongbaes YHH BOLEH KALO KELAR PPKM, GUE AJA YG KE BEKASI, KANGEN SM;negatif
"b""PPKM yang kuharapkan Perkenalan Pertemuan Khitbah Menikah :') #PPKMLevel4""";positif
 detikcom mungkin wujud kecewa kebijakan ppkm';negatif
 bertanyarl ppkm? pen pukul kepala mu';negatif
PPKM...Pelan-Pelan Kita Modyar! Amsyooongg!!';negatif
RT @geloraco: PPKM Diperpanjang, Politisi PKS ke Jokowi: Mundur Ajalah Pak, Rakyat Semakin Susah! https://t.co/Bl94tFmZbv';negatif
RT @davidnurbianto: Pemanasan dulu aje. Kelar PPKM banyak dong yg mau hajatan. Sini gue bantu dekor minimalis budget ekonomis. Mau tanya2 d\xe2\x80\xa6';positif
"RT @mumblooo: ppkm ; pemerintah pemerintah kntol matiajalhbgsd'";negatif
Plis ppkm kapan selesai\xf0\x9f\x98\xad mau self healing \xf0\x9f\x98\xad asli gua udh jenuh banget';negatif
Pengen bgt facial rasanyaaaa tapi PPKM ga kelar2 huhu';negatif
RT @me_zhu__Yusra: Diberlakukan PPKM alasannya jadi gak bisa cari nafkah, giliran udah bisa cari nafkah eh di provokasi suruh mogok kerja.\xe2\x80\xa6';negatif
Selamat malam selamat beraktivitas Jangan jenuh untuk patuhi PPKM ya, Kasus Positif menunjukkan tren penurunan saya\xe2\x80\xa6 https://t.co/NyNVUxMtS1';positif
Percepat Vaksinasi! Baiklah segera diadakan #VaksinasiMassal utk para buruh pabrik di seluruh Indonesia agar mereka\xe2\x80\xa6 https://t.co/I8zzEk78Z6';positif
RT @berlianidris: Serius nanya, ada yang tau landasan ilmiah waktu makan 20 menit ini?  https://t.co/1rAiMoen16';positif
ppkm aja diperpanjang, hubungan kita jangan';negatif
"RT @watchdoc_ID: ""Hitung-hitung nih, kita membantu pemerintah."" - Wartegan  Apa pendapatmu tentang ini? Wartegan menyediakan nasi bungkus g\xe2\x80\xa6'";positif
RT @FiersaBesari: PPKM bikin enggak bisa jalan ke mana-mana, kamu protes. Hubunganmu bisa jalan, tapi enggak berujung ke mana-mana, kamu en\xe2\x80\xa6';negatif
BUSET EX CRUSH GUA LAGI PPKM MALAH NONGKRONG GUA DIRUMAH MATI MATIAN GA KELUAR BIAR CEPET BERES SAMPE ENEG GPP Y K';negatif
RT @alvyaa: Ingat yorobun, RS udah penuh. Di rumah aja ya. Inget jgn makan daging sembarangan walau miskin. Semoga Bansos Jeongha cepet cai\xe2\x80\xa6';negatif
 ngalamfess ppkm gk kelar2, kerja diliburkan tapi tagihan tetap jalan \xf0\x9f\x98\xad';positif
 akanggchen penulis berita ttg nunggu ppkm itu looh';positif
RT @noona_sally: PPKM akan terus diperpanjang sampai ayam berevolusi menjadi Tirex.';negatif
RT @mutmuthea: Di masa PPKM ini memang kebutuhan listrik meningkat. Apalagi banyak yang wfh, wfo dan belajar online.   Nah, ternyata ada up\xe2\x80\xa6';negatif
RT @Nayya001: peraturan pemerintah tentang PPKM\xc2\xa0 ( Pemberlakuan Pembatasan Kegiatan Masyarakat). Menurut ku, pemerintah tak usah marah, Sat\xe2\x80\xa6';negatif
RT @OposisiCerdas: PPKM Diperpanjang, Politisi PKS ke Jokowi: Mundur Ajalah Pak, Rakyat Semakin Susah! https://t.co/cE6uyaElpd';negatif
RT @soopga_min: Good News! PPKM level pedas sepertinya berdampak positif. \xf0\x9f\x98\x81\xe2\x9c\x8c IGD lumayan lengang,pemandangan yg sangat indah, lebih indah d\xe2\x80\xa6';positif
Yg anggap remeh corona, masih nongki lama pas ppkm Sumpah lu belum pernah ngerasain kena corona ajg.';negatif
RT @isnansayyidinaa: rebahan sambil main hp saja gak ckup selama ppkm, butuh duit yg banyak';negatif
ppkm udh kaya ayam geprek aja dah ada level2nya';negatif
level 4 PPKM berarti udah ada ulti';negatif
 BingePurgatory Mana sempat keburu ppkm';negatif
org2 mah ppkm gini wfh Ini malah bru pulang kerja jam segini  kontol';negatif
RT @alvinlie21: Syarat perjalanan jangan diskriminatif  jika Udara wajib PCR moda lainnya seharusnya juga wajib PCR  Kalau moda transportas\xe2\x80\xa6';negatif
Bantu Warga Terdampak PPKM, Danny-Fatma Siapkan 100.000 Bantuan Sembako https://t.co/VcnqlIi90F';positif
"RT @Hilmi28: Hiburan level 4 dari buzzer disaat PPKM level 4. Enjoy, tetap sehat, tetap semangat &amp; tetap tersenyum walau pahit...\xf0\x9f\x98\x85 https://\xe2\x80\xa6'";positif
RT @SurauaID: Kades yang gelar pesta pernikahan saat PPKM Darurat didenda 48 ribu rupiah.. |Kok beda ya?|Klo sama bukan di Indonesia, bro|\xe2\x80\xa6';negatif
ppkm sebenernya sampe tanggal brp sih?';negatif
Selama Masa PPKM Darurat Omset Pedagang Makanan Kaki Lima di Magetan Turun Hingga 50 Persen  https://t.co/rmnklE7iXm';negatif
 sfsunn GABISA PPKM GABISA DEKETAN :(((';negatif
wkwkwk ppkm gabut bgt ya sampe semua hal skrg dipermasalahin, santai bos klo ga ngerugiin lo dan orang lain yaudah b\xe2\x80\xa6 https://t.co/zIZEKhudOS';negatif
 gydyieo Jujur kemaren  sebelum ppkm diperpanjang gua udah nyiapin mau kemana kemana sama bestie abis ppkm selese eh ternyata diperpannjang';negatif
ppkm di perpanjang, hadehh udh kangen starling bundaran HI.';negatif
ppkm udahan dong, gua udh donlot mamikos nih';negatif
 memefess PPKM diperpanjang menyebabkan manusia kehilangan akal';negatif
babinsa Plosorejo Kopda Agus Widodo bersama Tim PPKM MIKRO desa Plosorejo melaksanakan traccing terhadap warga yg p\xe2\x80\xa6 https://t.co/K2D95K5AFj';positif
RT @jagadhj: PPKM level 76 masyarakat wajib ngrogo sukmo mengeluarkan rohnya saja jika ingin pergi ke luar rumah';negatif
RT @virtualballers: PPKM diperpanjang sampai EA dan Konami merger.';negatif
"RT @BachdarWaty: Mba2,Abang2 Mari Bantu larisn Jualn UMKM kmi yg berdmpak PPKM Dangas Coffee&amp;Roasteri Batam menjual Kopi Gayo Arabika Bubuk\xe2\x80\xa6'";positif
Ppkm kapan selesai sih. aku gabisa kuliner malem nyari nasi megono lesehan dipinggir jalan jadinya\xf0\x9f\x98\x8c https://t.co/xKAT7H95ii';negatif
 jaemsfolder Ga muluk2. Kebutuhan hidup. Ud engap bgt karena PPKM \xf0\x9f\x98\x94 semoga segera ngerasain Big win \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xb;negatif
 matchaaoreoo @yhopenn Duh enaknya jadi artis tiktok bikin pesta ultah di ppkm gausah denda. Perlu denda ga ya? Ngg\xe2\x80\xa6 https://t.co/0qm50sP3qg';negatif
Hai #SobatAviasi sejalan dengan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM) level 1 hingga level 4, maka pe\xe2\x80\xa6 https://t.co/KiOrC4UMVI';positif
awalnya oke2 aja sama ppkm, lama2 eneg bgt di rumah mulu. emang jiwa jalan2 sih ya gimana';negatif
 hourlyelora Nanti kak nunggu ppkm udh beres, gabisa mudik https://t.co/iIrIwOujD7';negatif
PPKM Diperpanjang, Senator Riri: jangan lupa perhatikan urusan perut rakyat. https://t.co/yvHkpuWBZD';negatif
 Dickyd2i @tobbystory @nuicemedia Iya jg ya \xf0\x9f\xa5\xb2 imagine never ending ppkm sampe 2025';negatif
 s_wae @Alismar89937714 @geloraco @jokowi PPKM /Program Pembunuhan Kehidupan Rakyat.';negatif
RT @aininurcom: Gaess, tetap jaga kesehatan yak di tengah PPKM yang diperpanjang lagi. Kita harus kuat!!!  .  Btw-btw, di tengah masa-masa\xe2\x80\xa6';positif
mau beli kopi terus udah pada tutup, lupa masih ppkm';negatif
"Aku belom bayar kos :"" gegara psbb PPKM mbuh kah ambrul Adul keuangan ku.  Aku pdhal anak kos yg ga pernah telat"" bayar'";negatif
"RT @DKIJakarta: (2/2) Jalankan terus protokol kesehatan 3M. Jangan keluar rumah bila tdk mendesak. Selalu gunakan masker dgn benar dan jaga jarak bila harus keluar rumah. Sering cuci tangan dgn sabun. Ingatkan sesama warga.
 #JagaJakarta #HadapiBersama #COVID19 #PSBBJakarta #PPKM https://t.co/vwBX7nSJdT";positif
"Sebanyak 98,4% RT di Kabupaten #Madiun Masuk Zona Hijau - #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #covid19 #sarscov2 #RT #rukuntetangga #zonahijau #bupati #pemkab #kabupatenmadiun #madiunkab #jatim
 https://t.co/BIyXouUWPd https://t.co/S0ycauzknp";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/HZw0xfTZ8A";positif
"Sudah tidak lagi 3M, menekan penyebaran virus Corona perlu penerapan protokol kesehatan 5M. Perlu kesadaran masyarakat, mengingat di jalanan kadang banyak yang tidak mematuhi protokol kesehatan
 
 #polrestulungagung 
 #pidpolsekngunut 
 #ppkmmikro
 #prokes5m 
 #guyubrukun https://t.co/otXQ8Do2DM";positif
RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
Jam Tutup Usaha Dilonggarkan Jadi Pukul 22.00 Wita https://t.co/HwFdBrSvVI #berita #nusabali #JamMalam #PPKMMikro #pandemi;positif
"PPKM Mikro Berlanjut Di Kota Malang, Petugas Getol Opsgakplin, PPKM mikro berlanjut di Kota Malang. Opsgakplin protokol kesehatan pun makin gencar. Kota Malang cukup getol menggalakkan operasi #perpanjanganPPKM #PPKMmikro #kabarmalang 
 
 https://t.co/et8bbh1d5Z";positif
"Datangi Posko PPKM Desa Bandungrejo Jepara, Kapolda Jateng Bagikan Masker dan 50 Paket Sembako.
 
 Selengkapnya klik tautan berikut ini.
 #Jepara #PPKMMikro #Bandungrejo #Kapolda #Jateng
 https://t.co/vDB3cO2sqp";positif
"Bhabinkamtibmas Polsek Sumbang Aiptu Diya Nilawanti membagikan nasi kotak dari Polsek Sumbang program JUMAT PEDULI DAN BERKAH?? kepada Banpol dan pedagang kecil.
 #Jatenglawancorona 
 #Ikutiaturancegahcorona 
 #ppkmmikro
 #Amandirumah 
 #Dirumahaja https://t.co/7OPtDyM3LW";positif
"Kenapa diperluas ya?
 
 Simak gambar dibawah ini sob agar tau alasannya.
 #ppkmmikro
 #terasnegeriku https://t.co/GIpI4AuYhf";negatif
"Udah tau belum sob, apa itu PPKM Mikro?
 
 PPKM Mikro adalah pemberlakuan pembatasan kegiatan masyarakat berbasis skala mikro untuk menekan laju covid-19, sob.
 #ppkmmikro
 #terasnegeriku https://t.co/xTUaYhvzDd";positif
"Sob, udah tau belum PPKM Mikro diperpanjang dan diperluas?
 
 Yuk, discroll biar kamu nggak ketinggalan infonya!
 
 #ppkmmikro
 #terasnegeriku https://t.co/OqsM5FbP5G";negatif
"Kapolsek Selorejo pimmpin pelaksanaan pengawasan PPKM dan pembagian masker kepada jamaah sholat Jum'at di Masjid Al- Munir desa Sumberagung.
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/lnxiWklj7q";positif
