Komentar;Kelas
@restulungagung Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/mStQaWsIuf;positif
Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat. . #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01 https://t.co/pAh0sASP9W;positif
RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021. #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9;positif
Pemerintah Kembali Perpanjang PPKM Mikro;positif
Gubernur WH: PPKM Mikro Diperpanjang Sampai Covid-19 Terbirit-Birit - https://t.co/4VMTkKm0tR #ppkmmikro #banten @PemprovBanten @DPRDBANTEN https://t.co/6Uawtg6pg0;positif
RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021. #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9;positif
PPKM Mikro Di Jawa Timur Diperpanjang, Wakapolda Jatim : Masyarakat Harus Tetap Patuhi Prokes | https://t.co/KpsyUtNpIS #poldajatim #ppkm #ppkmmikro #jawatimur #prokes https://t.co/8tqgIC7FsN;positif
Pantau Posko PPKM Mikro di Purwakarta, Begini Kata Kapolda Jabar ?ø?ƒ??ƒ?­ https://t.co/VtTb5FKvEP #jabarnews #beritalokal #beritahiperlokal #harianjabar #jabartoday #beritajabar #beritajawabara #jawabarat #jabar #patauposko #ppkmmikro #purwakarta #kapoldajabar #polisi https://t.co/AxKVvzF18g;positif
Klo memang ada trend positif selama ppkm mikro kita harus bersyukur;positif
PPKM Mikro jadi Fokus Pemkab Bulungan Atasi Covid-19, Syarwani: Pemanfaatan Refocusing Anggaran https://t.co/kwXfqVXSsQ via @Tribun_Kaltara #PPKMMikro #fokus #Pemkab #Bulungan #atasi #Covid19 #Syarwani #Refocusing #Anggaran;positif
RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021. #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9;positif
Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19 #divisihumaspolri #patuhiprokes #AyoJogoBlitar #bebasCovid19 #PPKMMikro https://t.co/YM3sB4c68t;positif
RT @arjuna16sp: Pemaparan #GusMenteri tentang #PPKMMikro di Desa pada Rakornas PB 2021. @jokowi @halimiskandarnu @imansyukri @malik_haramain @taufikmadjid71 @yusradaridesa @fachrilabalado @SukoyoKasekpro @Brigade01Arwan1 @Erwin3977 https://t.co/z8WArW8DSM;positif
"""Kami memperpanjang pembatasan sosial berskala besar melalui PPKM berbasis mikro,"" uckap Bupati Bogor Ade Yasin di Bogor, Selasa (09/03/2021). #Ppkmmikro #PemkabBogor https://t.co/pxXYICt2H4";positif
RT @riduwandaddu: Sukseskan PPKM Mikro diperpanjang hingga 22 Maret 2021 #ppkmmikro https://t.co/hAMUn5P96h;positif
RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021. #PPKMMikro #PTKM #JogjaIstimewa #InstruksiGubernur https://t.co/saiXMHz1S9;positif
Ayo mana suar buzzer dan orang dekat dg Jokowi, petinggi negeri ini tentang kerumunan dan melanggar protokol kesehatan yg dilakukan oleh jokowi, ayo mana nyinyirnya;negatif
Bansos Februari blom cair Gimana nih sistemnya;negatif
duit bansos abis bos??!! blm ditransfer juga udah lewat 1 bulan.PEMERINTAH TUKANG BERAK..!!!!!;negatif
Neken terus, klo gak neken mana enak sampe mentok;negatif
Bencana dimana-mana, bansos salah sasaran , masyarakat kecil nggak dapat bantuan, makin murka tuhanku;negatif
Aturan ini lah itu lah. Repot bener. Dia bilang kecewa sm ppkm tapi mobilitas tetap meningkat. Simple sebetulnya. Pake otak yg jernih. Stop atau tutup spbu. Jngn keluarkan atau jual bbm. Sudah. Tamat;negatif
Tinggal bilang PSBB 1 tahun penuh aja gimana? Daripada diberi kepastian g jelas kapan berakhir PSBBnya;negatif
Setahun lalu yg terkena covid19 cuma 3 orang...pake psbb..sekarang jadi 1 juta...piye jal;negatif
Dahulu Jakarta dan sekitarnya mau lockdown .. eh dilarang2 ..Padahal cuman modal 10 triliun buat 2 bulan ..Malah sekarang anggaran covid ratusan triliun ..Dana bansos dikorupsi ..Weleh2;negatif
"D Bali rakyat menangis ppkm bukan solusi pak,malah menambah beban masyarakat terutama pedagang.. ekonomi sulit malah d batasi untuk mencari uang coba mikir dengan jernih lihat fakta d lapangan jngan lihat data palsu,kasian masyarakat selalu d jadikan korban,klw terus seperti ini nanti bnyak yg berontak jngan salahkan masyarkat nya mereka semua sdah capek ngomong baik"" gak pernah d tanggapi";negatif
Masjid juga jangan disekat pakai jaga jarak lagi. Lah ! wong pertunjukan musik dan kebudayaan saja boleh;negatif
Duh...gimana sih, orang pesta perkawinan aja dibubarin, ini kok diizinkan;negatif
Zona hijau kakak..yg merah, oranye,kuning tetep gigit jari.. ahh sudahlah.. capek di bohongi;negatif
Udh babas om kemaren KLB demokrat berjalan lancar walaupun Tanpa izin. Banyak lo pesertanya Dan ada yg bekerumun;negatif
Gimana mau percaya, orang kerumunan dilarang eh malah ada kaisar yang spontanitas mengundang kerumunan Dahlah.?›ƒ?ª?? Politik itu kejam, kekuasaan adalah hal paling keji untuk merusak harkat keadilan;negatif
Ahirnya Adanya Hanya Pembodohan Generasi Bangsa,,, kalau Sekolahan, Tdk Di Buka;negatif
Imbas dr pemerintah yg gagap dlm penanganan awal pandemi;negatif
apa bedanya seberangnya masih bisa dilalui, kebijakan yg absurd dan merugikan banyak pihak terutama pemakai jalan dan warga sekitar yg harus memutar lbh jauh;negatif
Parahnya yg jadi warga pendatang yg bekerja dilapis bawah dengar sdh kesampaian makan bubur supaya berasnya bisa di gunakan berhari hari mau pulang kedaerahnya dk punya ongkos bertahan di Bali tetpakasa;negatif
Yg miskin makin miskin, yg kaya makin semena. Bikin kebijakan setengah dan penyampaian nya kaya edukasi anak paud;negatif
Alangkah baik nya pemangku kepentingan pejabat memikirkan supaya rakyat kecil bisa makan gk resa karena ketakutan gk bisa makan kebijakan yang slalu rakyat mengelu tolong pak pikirkan rakyat;negatif
Sampai PPKM berlanjut terus dan semakin menyusahkan masyarakat sendiri;negatif
Coba aja liat sepanjang jalan dari mampang ke arah pasr minggu .. Trotoar yg di bangun pake uang pajak rakyat yg jumlahnya milyaran .. Hanya jd tmp yg nyaman ..buat .tukang nasi goreng . pecel lele dan parkir liar;negatif
Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??;negatif
Ko itu ada pengamen ondel2 didiemin, ngamen pake atribut Betawi tuh, dan gaa sedikit byk di lapangan;negatif
Yang melapangkan trotoar demi kenyamanan sepihak tapi pihak lain dibuat tak nyaman;negatif
Pak gubernur ga ada kah ide lain selain pembatasan pembatasan dan pembatasan??? Udh 1 tahun lo ini, katanya dpet uang bantuan dari pusat nyatanya sampe sini yg muncul aturan pembatasan trus;negatif
Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha;negatif
Pak Anies, yg miskin yg pnghasilannya UMP apa yg 14jt? Janjinya dulu yg miskin bisa punya rmh. Kok yg UMP yg miskin ttep ngontrak? Tapi anda msih boleh bangga. Tuh wkt bpk antusias boongin warga miskin, Bpk masih mndpt Applaus hebih dr jkt58;negatif
Saya mohon dengan hormat bapak petugah yang sangat bijaksana ,,,, tolong pabrik garmen itu banyak kerumunan di tutup to pak jangan pilih,, itu orang dari mana,, kumpul jadi satu kok di biarkan ,,,,, jangan yang kecil,, kasihan pak trimakasih;negatif
Lanjutkan pak sampai rakyatmu mati kelaparan;negatif
SIAPA YANG PALING BERWENANG DGN MASALAH PEMBODOHAN INI TOLONG JELASKAN BAGI YG MENGERTI;negatif
Mereka bilang covid itu konspirasi pemerintah. Mereka ga pake masker katanya aturan Allah aja ga diikutin, ngapain ikutin aturan pemerintah;negatif
Sudah satu tahun muter2 dengan covid hasilnya bertambah saja berarti covid tidak perlu ditakuti klu sakit berobat sama dokter,tetap patuhi porkes,kegitan masyarakat tetap dibuka seluas2nya;negatif
Yg terjadi sekarang itu kejangkitan massal bukan kematian massal.. bkn seperti yg di gembar gemborkan seperti di China orang tiba ambruk dan mati di jalanan;negatif
Namanya ppkm mikro, mikro : kecil. Berarti yg kena sasaran rakyat kecil;negatif
Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun;negatif
pemerintah terlalu berlebihan dalam menangani covid. beritanya lebih berbahaya dan kejam dari virusnya;negatif
Aku lihat di lapangan protokol kesehatan kira patuh cuma 75 persen masih banyak yg abaikan protokol kesehatan;negatif
Kalau garmen di buka tolong anak,, kita yang sekolah di masukan lagi kasihan generasi penerus bangsa lo pak anak,, kita itu;negatif
Kerjanya emang malam kok di razia, dasar koplak sudah gak punya hati nurani;negatif
Ini udah diganti berapa kali dari mulai psbb, pkpm trus sekarang ganti lagi ppkm mikro trus dari ke 2 hasilnya apa malah bikin rakyat menderita aja boro turun angka positif yg ada malah meningkat;negatif
ujung-ujungnya dana bansos diberitakan dikorupsi bahkan dirancang sejak awal pandemi;negatif
Terlalu di besar-besarkan, pandemi covid-19 ini?›ƒ?ª?? Tidak mikir, orang yang penghasilannya dapat hari ini, untuk di makan besok;negatif
Setiap yg sakit.di bilang corona .fimana ga banyak yg d bilang kena.. Pengalaman sendiri;negatif
benar banget tuh.?›ƒ?ª?? pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan;negatif
Sudah tau gagal, malah diterusin :) mau marah tp takut diserang pendukungnya, pasrah aja udah;negatif
Kasihan masyarakat kecil pak, mareka susah buat makan saja masih sangat bingung, kerjaan nggak ada, semua tutup, kemana mana serba dibatasi, diam dirumah,...terus kami makan apa bapak Presiden;negatif
Aktivitas masyarakat jangan lah di batasi ....yg kena covid saja di kurung ....biar ekonomi tumbuh kembali berikan kebijakan yg bijaksana biar masyarakat tidak kelaparan Hilangkan ppkm tu;negatif
Semakin ppkm semakin meningkat angka covid, berarti nggak ada guna ni ppkm;negatif
RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
Jam Tutup Usaha Dilonggarkan Jadi Pukul 22.00 Wita https://t.co/HwFdBrSvVI #berita #nusabali #JamMalam #PPKMMikro #pandemi;negatif
RT @IndonesiaBaikId: Hai SohIB! Kebijakan #PPKMMikro akan diperpanjang lho. Cakupannya pun akan diperluas. Mengapa?#IndonesiaBaik #YangMudaSukaData #DailyIssue #Infografis #PPKM #PSBB #COVID19 #KominfoNewsroom @BNPB_Indonesia https://t.co/110aezdisX;negatif
Begini Pesta Ultah Pedangdut Lara Silvi yang Digelar tanpa Pakai Masker dan Berkerumun#protokolkesehatan #melanggarprokes #wajibmasker #tanpamasker #kerumunan #ppkm #ppkmmikro #cafedefins #larasilvi #dangdut #psbb #viruscorona #viruscovid19 #covid19 #coronahttps://t.co/UqwLrJu8oN;negatif
Rembang, https://t.co/F73HKt1Ygv ?›ƒ?ªƒ?? Pemerintah Kabupaten Rembang memberikan izin kepada pelaku wisata untuk beroperasi selama empat hari dalam satu minggu di masa pemberlakuan pembatasankegiatan masyarakat (PPKM) skala mikro. #KabupatenRembang #ppkmmikrohttps://t.co/9NvWMcXO3m https://t.co/YM2qsgyyzz;negatif
Restoran-Mall Bisa Buka hingga Pukul 22.00 Wita https://t.co/UdYIp6OBdu #PPKMMikro #berita #nusabali #pandemi #COVID19 #JamMalam;negatif
Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha;negatif
Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH;negatif
Hahaha......sakit hati kok bertahun-tahun yak....hahaha.... awas setruk.....haha;negatif
"Dia sering muncul di media dalam berbagai kegiatan kenegaraan #tanpamasker. Mengapa tak pakai masker, Pak? ""Pilihan pribadi"". Tak ada sangsi, tak ada denda. Siapa sih bapak itu? Dia presiden! Hari ini ada liputan yang memberitakan bahwa ini kali pertama Trump mengenakan masker.";negatif
Ribuan warga demonstrasi menolak kebijakan lockdown dan protokol kesehatan termasuk menentang pemakaian masker. #TanpaMasker;negatif
Langgar Aturan, Tasyakuran Kelahiran Anak Dibubarkan. #wartajateng #langgarppkm #langgarpsbb;negatif
Jualan dibatasi sampai jam 9 malam.Kenapa garment kalau lembur sampai tengah malam tetep boleh????padahal berkurumun;negatif
Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??;negatif
Kerjanya ninjau terus, giliran ada yg bermasalah seperti rumah DP 0% bilangnya gak tau??;negatif
Kafe RM Langgar PSBB, Bambang Ismadi Sebut Ketiga Kalinya https://fajar.co.id/2021/02/26/kafe-rm-langgar-psbb-bambang-ismadi-sebut-ketiga-kalinya/?›ƒ?ª?? #BambangIsmadi #KafeRM #LanggarPSBB;negatif
Dua kafe di Dago, Kota Bandung disegel tim gugus tugas covid-19 karena melanggar dengan melebihi batas waktu operasional di saat pemberlakuan PSBB untuk memutus mata rantai penularan covid-19. Baca selengkapnya klik https://bit.ly/3cTwaqc #NewsOne #vivanews #LanggarPSBB;negatif
Langgar PSBB, 101 Perusahaan Ditutup Sementara Ahttp://arahkita.com/news/read/22027/langgar_psbb__101_perusahaan_ditutup_sementara?›ƒ?ª?? #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #Perusahaan #LanggarPSBB #Nasional #NewsUpdate #news #Berita #COVID19 #Corona;negatif
Ini Sanksi bagi Pelanggar PSBB DKI Jakarta Menurut Pergub 41/2020 https://arahkita.com/news/read/22453/ini_sanksi_bagi_pelanggar_psbb_dki_jakarta_menurut_pergub_41_2020_?›ƒ?ª?? #BeritaTerkini #BeritaJakarta #Jakarta #PSBB #PSBBJakarta #PelanggarPSBB #Sanksi #Pergub #GubernurDKI #AniesBaswedan #Nasional #NewsUpdate #news #Berita;negatif
Depok Siapkan Sanksi Pidana bagi Pelanggar PSBB https://arahkita.com/news/read/22277/depok_siapkan_sanksi_pidana_bagi_pelanggar_psbb?›ƒ?ª?? #BeritaTerkini #Depok #JawaBarat #PemkotDepok #SanksiPidana #PelanggarPSBB #PSBB #PSBBdepok #COVID19 #CegahCOVID19 #Nasional #NewsUpdate #news #Berita;negatif
"""Obat nganggur adalah berkumpul dan mengobrol, setelah dari itu......nganggur lagi"" #PelanggarPSBB #astagfiraullah #pemudabiasaaja";negatif
Bagi masyarakat melanggar PSBB di Jakarta akan dimasukan ke dalam peti jenazah. #PelanggarPSBB;negatif
"susah emang kalo pas kecil kerjaannya ngomong ""peraturan tuh dibikin buat dilanggar...*sambil petantang-petenteng cengar-cengir merasa paling kece* "" #pelanggarpsbb #prihatin";negatif
Tempat hiburan karaoke dan bar milik Ahmad Dhani di kawasan Mangga Besar tepergok melakukan pelanggaran PSBB. #karaokemasterpiece;negatif
Warga Masih Cuek Tak Pakai Masker, Polisi Gencarkan Patroli di Pasar #IniKebumen #WargaCuek #TanpaMasker #COVID19;negatif
BACOT!!! Tolak PSBB!! Tolak PPKM!!. Tolak Lockdown!! Kagak ngaruh ya pantek!;negatif
PKL Hingga Pedagang Kecil di Malioboro Kompak Tolak PPKM Diperpanjang;negatif
"Yang punya warung makan ngomong ke Pol PePe: ""Kalian enak dapat gaji, kami dapat apa? "" Tolak PPKM dan PSBB, orang yang nurut dari PSBB awal sudah lelah.";negatif
Tanpa Kompensasi Dan Solusi, Pelaku Usaha Di Jateng Tolak Perpanjangan PPKM;negatif
PHRI Demak Tolak Perpanjangan?? PPKM;negatif
Ganjar Pranowo Soroti Keinginan Bupati Karanganyar Tolak Perpanjangan PPKM Jilid II;negatif
Tolak Kebijakan Pusat, Kota Surabaya Minta Dikecualikan dari PPKM;negatif
Drpd diketatkan, baiknya dihentikan PPKM. Blm prnah ada PPKM/PSBB memiliki dampak trhadap kasus. Tp lindungi nakes. Tolak pasien yg abai 5M. RS hanya menerima mrk yg patuh 5M;negatif
Gara gara PPKM, weekendku suram.! Weekend hanya goleran saja. Dah bingung mau nonton apa lagi. Dah bosen di rumah.!;negatif
Gajian tetep penuh, ga kepotong gara-gara omset sepi mergo PPKM Mikro kontolamoh;negatif
gara gara ppkm, nyari comfort food jam segini emang susah, pada tutup semua;negatif
Akhirnya pegang hp setelah 2 hari ga pegang gara gara ppkm menyiksa;negatif
Aiihh gara gara ppkm aku buang penawaran2 baik untuk besok *padahal kan hrs nya bsk jd hari menyenangkan;negatif
gara gara ppkm atau apalah w belom keluar rumah yang bener2 pergi hangout samsek padahal kan aku sudah mencapai semua goalsku;negatif
Ini gara gara ppkm tutup jam 7 dibekasi jdi ngamuk? Hahaha;negatif
PPKM tidak efektif. Tidak EFEKTIF. Tau ga kita dirumahkan lagi gara-gara PPKM? Dan ternyata PPKM TIDAK EFEKTIF. Implementasi tidak sesuai dengan harapan, angka covid tetep naik. Ya Allah, dipikir nafkah orang nih mainan apa ya?;negatif
Besok kemana ? Niat pengen main udah cerah, cuma tujuannya masih gelap -_- Gara-gara PSBB, PPKM, terus ada PPKM mikro. nanti ubah lagi jadi PPKM mikro revisi, PPKM mikro fiks ya Allah;negatif
2 Pekan PPKM Kota Bandung, Kasus Covid-19 Masih Naik;negatif
tolonglah pejabat2 pembuat keputusan PPKM di baca ini komentar dari rekan2 disini, ga efektif sama sekali, mending sudahi saja biarkan normal;negatif
Gubernur Jawa Tengah Ganjar Pranowo menanggapi kabar yang menyebut ada denda tilang untuk masyarakat tanpa denda masker. #TanpaMasker;negatif
Masih banyak aja orang2 yang berkeliaran #tanpamasker... Wajar kalau #personilmedis sampai #mogokkerja... #INDONESIATERSERAH;negatif
RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
benar banget tuh.?›ƒ?ª?? pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan;negatif
Aiihh gara gara ppkm aku buang penawaran2 baik untuk besok *padahal kan hrs nya bsk jd hari menyenangkan;negatif
 ShopeeID Bismillahirrahmanirrahim semoga hadiah PPKM dari @ShopeeID bisa kasih hadiah buat adek yg belajar online.\xe2\x80\xa6 https://t.co/RYnHCDFg98';positif
 teguhhurahura Ppkm diperpanjang sampai rakyatnya ruwet mikirim hidup';negatif
RT @QaillaAsyiqah: Aksi Tolak PPKM dari Mahasiswa BEM se-Kota Ambon di depan Kantor Walikota Ambon..  (27/Juli/2021) https://t.co/u5hZqkd9Oz';negatif
gausa makan deh biar mati aja males bngt njemz ppkm resto tutup gada makanan dirumah';negatif
Di liat liat ppkm sama pssb gda bedanya efeknya sama sama menakutkan, yang jualan sate di tusuk.';negatif
 SOOJINYlE ppkm, pelan pelan ku mninggal..';negatif
RT @eT3k3WeR_: PPKM diperpanjang, tapi kemarin ada yg kecewa krna ada pejabatnya yg Halan2 ke Luar Negeri, bener apa ngga sih Ntu?? \xf0\x9f\x99\x84 #PPKM\xe2\x80\xa6';negatif
 benbeen_ Tentu tidak boleh, ppkm';negatif
RT @ChusnulCh__: Kasus kovid naik, Jokowi yg disalahkan. Jokowi terapkan PPKM, Jokowi dimusuhi bahkan mau dilengserkan. Kasus kovid turun,\xe2\x80\xa6';negatif
RT @BudiKropos: Serba salah.... PPKM pertaruhan Pemerintah dengan segala resiko agar utamakan kesehatan dan keselamatan rakyat, sisi lain r\xe2\x80\xa6';negatif
"ppkm berhasil mengurangi penyebaran, namun gagal jika untuk bertahan hidup karena pada umumnya ""berdagang untuk makan""'";negatif
RT @me_zhu__Yusra: Diberlakukan PPKM alasannya jadi gak bisa cari nafkah, giliran udah bisa cari nafkah eh di provokasi suruh mogok kerja.\xe2\x80\xa6';negatif
PPKM : protokol pertahankan kekuasan mutlak,, https://t.co/18zGcK0I0s';negatif
RT @apahabarcom: Bukan ratusan, melainkan ribuan warga yang kehilangan pekerjaan dampak dari pemberlakuan PPKM level IV di Banjarmasin.   h\xe2\x80\xa6';negatif
